best_epoch,cell,checkpoint_metric,dataset,n_params,seed,split,test_AUC-ROC,test_P@50,test_P@N2,test_PR-AUC,test_accuracy,test_macro-F1,val_AUC-ROC,val_P@50,val_P@N2,val_PR-AUC,val_accuracy,val_macro-F1,wall_time_sec
1,09,accuracy,ddibn,340817,42,S2,0.458331,0.498469,0.480365,0.486411,0.5,0.0,0.459173,0.5,0.478942,0.479637,0.5,0.0,7648.5
72,10,accuracy,ddibn,401618,42,S0,0.979919,0.989665,0.933059,0.983055,0.934059,0.932877,0.976315,0.981722,0.924874,0.979046,0.927007,0.925886,1991.6
40,10,accuracy,ddibn,401618,42,S1,0.700622,0.841531,0.654672,0.710885,0.590053,0.34725,0.70409,0.848134,0.657118,0.717703,0.579169,0.308016,1991.6
40,10,accuracy,ddibn,401618,42,S2,0.552479,0.494641,0.545072,0.61549,0.530834,0.153959,0.59146,0.504498,0.592769,0.643805,0.528286,0.185185,1991.6
124,10,accuracy,ddibn,401618,124,S0,0.975575,0.989665,0.924033,0.980197,0.925177,0.92415,0.974469,0.979522,0.921683,0.977903,0.92299,0.922305,2288.6
96,10,accuracy,ddibn,401618,124,S1,0.708424,0.892249,0.653837,0.743383,0.543865,0.168537,0.71282,0.866507,0.661718,0.738384,0.534037,0.136272,2288.6
23,10,accuracy,ddibn,401618,124,S2,0.60065,0.513493,0.573722,0.623414,0.516565,0.09752,0.611501,0.517895,0.584446,0.630648,0.52159,0.120926,2288.6
48,11,accuracy,ddibn,1799881,0,S0,0.991578,0.995885,0.955365,0.992568,0.953751,0.953896,0.988743,0.990048,0.952364,0.990532,0.951574,0.951706,6962.1
42,11,accuracy,ddibn,1799881,0,S1,0.900014,0.957895,0.816565,0.896033,0.509887,0.037608,0.902656,0.975981,0.821181,0.900952,0.511713,0.044817,6962.1
1,11,accuracy,ddibn,1799881,0,S2,0.454338,0.493876,0.46825,0.504436,0.5,0.0,0.458345,0.492057,0.471542,0.511476,0.5,0.0,6962.1
8,12,accuracy,ddibn,94545,0,S0,0.960491,0.973206,0.886768,0.964392,0.888163,0.887364,0.964103,0.974258,0.901296,0.969013,0.902182,0.903062,76.2
5,12,accuracy,ddibn,94545,0,S1,0.860309,0.950144,0.769541,0.859404,0.76698,0.739263,0.857985,0.940957,0.767864,0.857552,0.766839,0.735685,76.2
1,12,accuracy,ddibn,94545,0,S2,0.503436,0.501627,0.49661,0.534496,0.50035,0.3341,0.522597,0.507273,0.519844,0.529731,0.508769,0.351201,76.2
8,12,accuracy,ddibn,94545,42,S0,0.95996,0.97378,0.887948,0.963875,0.889599,0.889007,0.964184,0.974545,0.901496,0.969153,0.902055,0.903295,75.6
5,12,accuracy,ddibn,94545,42,S1,0.860484,0.953493,0.76613,0.859607,0.7638,0.734079,0.857726,0.940861,0.763187,0.857036,0.765267,0.73154,75.6
